,CH1
Second,Volt
1.00800e-05,1.36e+01, 
1.01200e-05,1.40e+01, 
1.01600e-05,1.36e+01, 
1.02000e-05,1.42e+01, 
1.02400e-05,1.36e+01, 
1.02800e-05,1.42e+01, 
1.03200e-05,1.36e+01, 
1.03600e-05,1.42e+01, 
1.04000e-05,1.38e+01, 
1.04400e-05,1.42e+01, 
1.04800e-05,1.42e+01, 
1.05200e-05,1.36e+01, 
1.05600e-05,1.42e+01, 
1.06000e-05,1.34e+01, 
1.06400e-05,1.36e+01, 
1.06800e-05,1.42e+01, 
1.07200e-05,1.38e+01, 
1.07600e-05,1.42e+01, 
1.08000e-05,1.42e+01, 
1.08400e-05,1.36e+01, 
1.08800e-05,1.42e+01, 
1.09200e-05,1.36e+01, 
1.09600e-05,1.36e+01, 
1.10000e-05,1.42e+01, 
1.10400e-05,1.38e+01, 
1.10800e-05,1.42e+01, 
1.11200e-05,1.40e+01, 
1.11600e-05,1.36e+01, 
1.12000e-05,1.34e+01, 
1.12400e-05,1.40e+01, 
1.12800e-05,1.36e+01, 
1.13200e-05,1.42e+01, 
1.13600e-05,1.36e+01, 
1.14000e-05,1.42e+01, 
1.14400e-05,1.38e+01, 
1.14800e-05,1.40e+01, 
1.15200e-05,1.42e+01, 
1.15600e-05,1.36e+01, 
1.16000e-05,1.36e+01, 
1.16400e-05,1.42e+01, 
1.16800e-05,1.36e+01, 
1.17200e-05,1.42e+01, 
1.17600e-05,1.40e+01, 
1.18000e-05,1.36e+01, 
1.18400e-05,1.42e+01, 
1.18800e-05,1.36e+01, 
1.19200e-05,1.38e+01, 
1.19600e-05,1.42e+01, 
