,CH1
Second,Volt
5.44000e-06,8.00e-03, 
5.48000e-06,8.00e-03, 
5.52000e-06,1.20e-02, 
5.56000e-06,6.00e-03, 
5.60000e-06,8.00e-03, 
5.64000e-06,1.00e-02, 
5.68000e-06,1.00e-02, 
5.72000e-06,8.00e-03, 
5.76000e-06,1.00e-02, 
5.80000e-06,8.00e-03, 
5.84000e-06,6.00e-03, 
5.88000e-06,1.00e-02, 
5.92000e-06,1.20e-02, 
5.96000e-06,8.00e-03, 
6.00000e-06,8.00e-03, 
6.04000e-06,1.00e-02, 
6.08000e-06,1.20e-02, 
6.12000e-06,6.00e-03, 
6.16000e-06,8.00e-03, 
6.20000e-06,1.20e-02, 
6.24000e-06,8.00e-03, 
6.28000e-06,1.20e-02, 
6.32000e-06,8.00e-03, 
6.36000e-06,1.00e-02, 
6.40000e-06,1.20e-02, 
6.44000e-06,8.00e-03, 
6.48000e-06,8.00e-03, 
6.52000e-06,1.00e-02, 
6.56000e-06,1.00e-02, 
6.60000e-06,6.00e-03, 
6.64000e-06,1.20e-02, 
6.68000e-06,6.00e-03, 
6.72000e-06,8.00e-03, 
6.76000e-06,1.00e-02, 
6.80000e-06,8.00e-03, 
6.84000e-06,1.00e-02, 
6.88000e-06,8.00e-03, 
6.92000e-06,1.00e-02, 
6.96000e-06,8.00e-03, 
7.00000e-06,1.00e-02, 
7.04000e-06,1.00e-02, 
7.08000e-06,6.00e-03, 
7.12000e-06,1.00e-02, 
7.16000e-06,6.00e-03, 
7.20000e-06,6.00e-03, 
7.24000e-06,1.00e-02, 
7.28000e-06,8.00e-03, 
7.32000e-06,8.00e-03, 
7.36000e-06,1.00e-02, 
7.40000e-06,6.00e-03, 
7.44000e-06,6.00e-03, 
7.48000e-06,1.00e-02, 
7.52000e-06,8.00e-03, 
7.56000e-06,8.00e-03, 
7.60000e-06,6.00e-03, 
7.64000e-06,1.40e-02, 
7.68000e-06,4.00e-03, 
7.72000e-06,1.20e-02, 
7.76000e-06,1.00e-02, 
7.80000e-06,8.00e-03, 
7.84000e-06,8.00e-03, 
7.88000e-06,1.00e-02, 
7.92000e-06,1.20e-02, 
7.96000e-06,6.00e-03, 
8.00000e-06,8.00e-03, 
8.04000e-06,8.00e-03, 
8.08000e-06,8.00e-03, 
8.12000e-06,1.00e-02, 
8.16000e-06,8.00e-03, 
8.20000e-06,1.00e-02, 
8.24000e-06,8.00e-03, 
8.28000e-06,1.20e-02, 
8.32000e-06,8.00e-03, 
8.36000e-06,1.00e-02, 
8.40000e-06,8.00e-03, 
8.44000e-06,1.00e-02, 
8.48000e-06,1.00e-02, 
8.52000e-06,8.00e-03, 
8.56000e-06,8.00e-03, 
8.60000e-06,1.00e-02, 
8.64000e-06,8.00e-03, 
8.68000e-06,1.00e-02, 
8.72000e-06,1.00e-02, 
8.76000e-06,8.00e-03, 
8.80000e-06,8.00e-03, 
8.84000e-06,1.00e-02, 
8.88000e-06,8.00e-03, 
8.92000e-06,1.00e-02, 
8.96000e-06,1.00e-02, 
9.00000e-06,8.00e-03, 
9.04000e-06,8.00e-03, 
9.08000e-06,1.00e-02, 
9.12000e-06,1.20e-02, 
